iter	Logloss
0	0.6887239829
1	0.6843807622
2	0.6806067683
3	0.6765638559
4	0.6731295285
5	0.6693030749
6	0.6655585119
7	0.6620805196
8	0.6587611352
9	0.6557842844
10	0.6524989044
11	0.6494101055
12	0.6458619011
13	0.6437751876
14	0.6404051533
15	0.6372499259
16	0.6348023778
17	0.6320915502
18	0.6291538846
19	0.6260648759
20	0.6233011713
21	0.6207616053
22	0.6182322837
23	0.6155782054
24	0.613028972
25	0.6105359216
26	0.6079434137
27	0.6054938006
28	0.6034908529
29	0.6008274521
30	0.5986023548
31	0.5966325111
32	0.5947651703
33	0.5931608216
34	0.5912306469
35	0.5888898916
36	0.5864759071
37	0.5847597129
38	0.5829070822
39	0.5812532234
40	0.5792456722
41	0.57785694
42	0.5759910282
43	0.5741474066
44	0.5726437319
45	0.5711255842
46	0.5694847396
47	0.5679789499
48	0.5666297681
49	0.564962557
50	0.5637648549
51	0.5623446188
52	0.5607065942
53	0.559391489
54	0.557820127
55	0.5563815189
56	0.5547972793
57	0.5534100457
58	0.5520017361
59	0.5507597508
60	0.5496228435
61	0.5482650888
62	0.5471373046
63	0.5458677969
64	0.5446386283
65	0.5432851387
66	0.5420243161
67	0.540965682
68	0.540021725
69	0.5390844404
70	0.5379489207
71	0.5368005338
72	0.535500629
73	0.5346877698
74	0.5339482459
75	0.5328910773
76	0.5317719641
77	0.5310043959
78	0.530146408
79	0.529489337
80	0.5284458825
81	0.5276446736
82	0.5266972173
83	0.5257678337
84	0.5251436046
85	0.5244423121
86	0.5236513307
87	0.5227728432
88	0.5220463629
89	0.5211225933
90	0.520372115
91	0.5195135602
92	0.5188330419
93	0.5180605988
94	0.5175687897
95	0.5168423548
96	0.5161114501
97	0.515324526
98	0.5147009881
99	0.5139980411
100	0.5133940228
101	0.5128234894
102	0.5123296919
103	0.5116593393
104	0.5111099145
105	0.510576324
106	0.5098963523
107	0.5091660715
108	0.5085389754
109	0.5079046603
110	0.5075261014
111	0.5070606062
112	0.5066438697
113	0.5061231075
114	0.5054812164
115	0.5048277508
116	0.5041290738
117	0.5035932631
118	0.50297558
119	0.5022759967
120	0.501789413
121	0.5012278605
122	0.5006425631
123	0.5001731874
124	0.4998126068
125	0.4994190987
126	0.4988781888
127	0.4985060235
128	0.4980265748
129	0.4975084346
130	0.4969507574
131	0.4963503555
132	0.4959297539
133	0.4954524634
134	0.495041827
135	0.4946366809
136	0.4943082597
137	0.4940641588
138	0.4936390284
139	0.4932042121
140	0.4927570368
141	0.4922701878
142	0.4919417939
143	0.491597106
144	0.4911981908
145	0.4909821278
146	0.490673473
147	0.4903984079
148	0.4900019944
149	0.4896385472
150	0.4892521675
151	0.4888216392
152	0.4884163948
153	0.488129556
154	0.4877356473
155	0.4874181942
156	0.4870063951
157	0.4865982123
158	0.4862827135
159	0.4859363926
160	0.4856175558
161	0.485351889
162	0.4851984995
163	0.4849344987
164	0.4846743624
165	0.4844423693
166	0.4841385216
167	0.4837769069
168	0.4834764005
169	0.4832000035
170	0.4829804591
171	0.4827809347
172	0.4826155169
173	0.4823854973
174	0.4821246694
175	0.481787209
176	0.4814442486
177	0.4812412932
178	0.4810111668
179	0.4807293749
180	0.4805775132
181	0.4804389893
182	0.4802451273
183	0.4799987631
184	0.4797813966
185	0.4795936881
186	0.4793623392
187	0.4792155716
188	0.4789598595
189	0.4786938751
190	0.4785011447
191	0.4782819178
192	0.4780633414
193	0.4778077331
194	0.4775485139
195	0.4773020226
196	0.4770088249
197	0.4767743475
198	0.4765360795
199	0.4762536946
200	0.4761185876
201	0.475946535
202	0.4755552916
203	0.4752684559
204	0.4751031271
205	0.4749372046
206	0.4747932711
207	0.4745467997
208	0.4743132791
209	0.47408091
210	0.4739439857
211	0.4737479468
212	0.4735353677
213	0.4734196797
214	0.4732629489
215	0.4731481978
216	0.4729124451
217	0.4726614994
218	0.4724698933
219	0.4723036632
220	0.4720359438
221	0.4718853117
222	0.4718044391
223	0.4716352652
224	0.4714876792
225	0.4713088906
226	0.4710436717
227	0.4708393729
228	0.4705096579
229	0.4703885016
230	0.4701989522
231	0.4700436088
232	0.469842272
233	0.469663705
234	0.4695260556
235	0.4693529808
236	0.4692082167
237	0.469092595
238	0.4689418309
239	0.4687943326
240	0.4686625714
241	0.4684924394
242	0.4683708012
243	0.4682344866
244	0.4681303172
245	0.4679592216
246	0.46785901
247	0.4677246733
248	0.4676410173
249	0.4674857191
250	0.4672990798
251	0.4671687754
252	0.4670104652
253	0.4668469506
254	0.4666977701
255	0.4665991259
256	0.4664987936
257	0.466298241
258	0.4661502424
259	0.4659644885
260	0.4658804479
261	0.4657067694
262	0.4655923497
263	0.465392807
264	0.4652469457
265	0.4651328487
266	0.4650310378
267	0.4649333869
268	0.4648847099
269	0.4648234209
270	0.4646736268
271	0.4646387945
272	0.4644493836
273	0.4643030365
274	0.4642668505
275	0.4641749388
276	0.4641040835
277	0.4639723602
278	0.4638770044
279	0.4638145227
280	0.4637207425
281	0.463667854
282	0.4635399767
283	0.4634269004
284	0.4632882476
285	0.463180185
286	0.4631116056
287	0.4629761597
288	0.4629227502
289	0.4628279591
290	0.4627490964
291	0.4626109987
292	0.4625207533
293	0.4623952522
294	0.4622611749
295	0.4621834006
296	0.4620967009
297	0.461992215
298	0.4619036938
299	0.4617373454
300	0.4616573082
301	0.4615185507
302	0.461433624
303	0.4613784835
304	0.4612470455
305	0.4611334827
306	0.4609937069
307	0.4609001369
308	0.4608508922
309	0.4607769129
310	0.460725889
311	0.4606715948
312	0.460618879
313	0.4603923213
314	0.4602782621
315	0.4601674696
316	0.4600755805
317	0.4599398967
318	0.4598157378
319	0.4597670154
320	0.459604345
321	0.4595456455
322	0.4594243419
323	0.4593176642
324	0.4591922973
325	0.4590925082
326	0.4589976546
327	0.4588801999
328	0.458801844
329	0.4587179797
330	0.4586408878
331	0.458471891
332	0.4583187136
333	0.4582643936
334	0.4581299589
335	0.4580590545
336	0.4579625857
337	0.4578994322
338	0.4578788893
339	0.4578145575
340	0.4577557593
341	0.4577092653
342	0.4576552403
343	0.457562824
344	0.4574242954
345	0.4573736685
346	0.4572773969
347	0.4572327257
348	0.4571534865
349	0.4570738299
350	0.4569972871
351	0.4569675289
352	0.4568910314
353	0.4567992746
354	0.4567137313
355	0.4565642433
356	0.4564845617
357	0.4563399591
358	0.4562578476
359	0.4561489909
360	0.4559915832
361	0.4558237464
362	0.4556887251
363	0.4555927736
364	0.45550394
365	0.4554439382
366	0.4553346937
367	0.4551928525
368	0.4551046512
369	0.4550184089
370	0.4549627711
371	0.4548978208
372	0.4547746721
373	0.4546668427
374	0.4546083019
375	0.4545930074
376	0.4545400254
377	0.4544428681
378	0.4542625119
379	0.4542103494
380	0.4541489091
381	0.4540698314
382	0.4540093461
383	0.4539615153
384	0.4539311519
385	0.4538817863
386	0.4538123142
387	0.4537846335
388	0.4537383985
389	0.4537077703
390	0.4536641568
391	0.4536005364
