iter	Logloss
392	0.4535164988
393	0.4534640762
394	0.4533992733
395	0.4533434882
396	0.4532190737
397	0.4531518822
398	0.4530669893
399	0.4529551383
400	0.4528663938
401	0.4527839626
402	0.4527140158
403	0.4526629674
404	0.4525790243
405	0.4524726423
406	0.4524179422
407	0.4523307029
408	0.4522146805
409	0.4521437837
410	0.4520934586
411	0.4520544262
412	0.4519509045
413	0.4518533857
414	0.4517910958
415	0.4517078759
416	0.451647507
417	0.4514844403
418	0.4514337487
419	0.4513553139
420	0.4513059228
421	0.4512773079
422	0.4512226994
423	0.4511396627
424	0.4510963139
425	0.450998358
426	0.4509316464
427	0.4508297643
428	0.4507444031
429	0.450660944
430	0.4506177902
431	0.4505269561
432	0.4504637922
433	0.4503491671
434	0.4502479898
435	0.4501839698
436	0.4501200104
437	0.4500000625
438	0.4499446697
439	0.4498858362
440	0.4498509134
441	0.4498007053
442	0.449687818
443	0.4496096111
444	0.4495278763
445	0.4494609005
446	0.4494083916
447	0.4493457062
448	0.4493123426
449	0.4492335866
450	0.4491502941
451	0.4490977365
452	0.4490566376
453	0.4489960348
454	0.4489062967
455	0.4487887342
456	0.4487493586
457	0.4486672877
458	0.4486147172
459	0.4485668724
460	0.4484414423
461	0.4483779467
462	0.4483399758
463	0.4482244509
464	0.448152621
465	0.4481046847
466	0.4480616278
467	0.4479881337
468	0.4478812671
469	0.4478320874
470	0.4477870958
471	0.447751304
472	0.4476544866
473	0.4475809925
474	0.4475636276
475	0.4475422063
476	0.4475347475
477	0.4474864206
478	0.4474389545
479	0.4473844593
480	0.4473357201
481	0.4472736044
482	0.4472398392
483	0.4471671876
484	0.4470686827
485	0.4470201011
486	0.4469747068
487	0.4468492652
488	0.44679186
489	0.4466937173
490	0.44667409
491	0.4466314392
492	0.4466083524
493	0.4465634945
494	0.4465277835
495	0.4464339116
496	0.4463794615
497	0.4463520544
498	0.4463350839
499	0.4462918673
