iter	RMSE
148	0.1456868962
149	0.1456557789
150	0.1448131599
151	0.144629076
152	0.1442853192
153	0.1441146433
154	0.1440828054
155	0.1438118426
156	0.1433885884
157	0.1428715803
158	0.1427794598
159	0.1425975608
160	0.1421352703
161	0.1417926829
162	0.1414493213
163	0.1412311381
164	0.1411927802
165	0.1409179118
166	0.1406951759
167	0.1406618744
168	0.1403165423
169	0.1401350997
170	0.1399438111
171	0.1399062468
172	0.1398917441
173	0.1397059499
174	0.1396932068
175	0.1391583867
176	0.1390053589
177	0.1388487765
178	0.1385896226
179	0.1383800084
180	0.138105087
181	0.1378150384
182	0.1374683502
183	0.1373170158
184	0.137082479
185	0.1367914439
186	0.136318851
187	0.1362762636
188	0.1361764957
189	0.1361686084
190	0.1361458885
191	0.1361122446
192	0.1360113666
193	0.1358619429
194	0.1355970613
195	0.1353555499
196	0.1352715019
197	0.1351309124
198	0.1348186556
199	0.1346760926
200	0.1344082415
201	0.1342781797
202	0.1342456968
203	0.1338500656
204	0.1337184688
205	0.133524227
206	0.133002112
207	0.1329216138
208	0.1328925716
209	0.1327556965
210	0.132716968
211	0.132516979
212	0.1324873945
213	0.1323592921
214	0.1323149604
215	0.1323059251
216	0.1322743148
217	0.1320743067
218	0.1320442282
219	0.1318423505
220	0.1318101592
221	0.1317070942
222	0.1314903223
223	0.1313400918
224	0.1309226111
225	0.1306963724
226	0.1306628167
227	0.1303870525
228	0.1303013996
229	0.1302265309
230	0.130194455
231	0.1301322149
232	0.1301088898
233	0.1300565475
234	0.129745864
235	0.1295895721
236	0.129359773
237	0.1291528388
238	0.1289094095
239	0.1287930356
240	0.1286743412
241	0.1286529689
242	0.1285314859
243	0.1284742456
244	0.1282788899
245	0.128192293
246	0.1281643441
247	0.1281514864
248	0.128023669
249	0.1278011274
250	0.1277868271
251	0.1276867027
252	0.1275866002
253	0.1275410413
254	0.1273865318
255	0.1271978338
256	0.1271385905
257	0.1268880468
258	0.1268177273
259	0.1264289492
260	0.1263558236
261	0.1262488916
262	0.1259569571
263	0.1256741278
264	0.1255627199
265	0.1253269106
266	0.1252520385
267	0.1251696445
268	0.125119527
269	0.1250746034
270	0.1247421227
271	0.1246009746
272	0.1244870013
273	0.124144605
274	0.1238970467
275	0.1237950312
276	0.1236096836
277	0.1234110941
278	0.1233877024
279	0.12336024
280	0.1233342897
281	0.123138598
282	0.1231112504
283	0.1230617249
284	0.1230352977
285	0.1229380418
286	0.1227755471
287	0.1226502989
288	0.122359377
289	0.1222828581
290	0.1220412295
291	0.1220076425
292	0.1219191956
293	0.1218871281
294	0.1217963956
295	0.1216623271
296	0.1215091738
297	0.1213105917
298	0.1211360009
299	0.1209093066
300	0.1208989727
301	0.1207784648
302	0.1206966554
303	0.1205109436
304	0.1201289697
305	0.120045254
306	0.1198363638
307	0.1198208776
308	0.1196942233
309	0.1196564418
310	0.1196393369
311	0.1194956605
312	0.1194488279
313	0.1193648918
314	0.1193070913
315	0.1191768972
316	0.1190154963
317	0.1189535107
318	0.1187391314
319	0.1187088088
320	0.1186810221
321	0.1186266638
322	0.1185842716
323	0.1185516799
324	0.1183295005
325	0.1180990152
326	0.1179939887
327	0.117931672
328	0.1179088273
329	0.1178721819
330	0.1178472218
331	0.1177616393
332	0.1177167768
333	0.1173975863
334	0.1172297269
335	0.1171531164
336	0.1170617482
337	0.1170606049
338	0.1170242399
339	0.1170071708
340	0.1168891281
341	0.1166660855
342	0.116630974
343	0.1166305835
344	0.1166234386
345	0.1166129722
346	0.1166022
347	0.1164683788
348	0.1162702218
349	0.1162181881
350	0.1158319358
351	0.1155392257
352	0.1154737257
353	0.1154406142
354	0.1152570388
355	0.1151960482
356	0.1151751466
357	0.1150584261
358	0.1149842175
359	0.1149401611
360	0.1148655182
361	0.114571899
362	0.1145203691
363	0.1144266609
364	0.1143663494
365	0.1143605
366	0.1142535235
367	0.1142496805
368	0.1142410683
369	0.1141349818
370	0.1141175507
371	0.1140894351
372	0.1140133551
373	0.113935682
374	0.1139118798
375	0.1138818908
376	0.1137760194
377	0.1135694191
378	0.1133683709
379	0.1128732574
